phone,count,lvl,implementation,date,timestamp,issues,offscreen,1_Age,2_priorExp,3_SUS_1,4_SUS_2,5_SUS_3,6_SUS_4,7_SUS_5,8_SUS_6,9_SUS_7,10_SUS_8,11_SUS_9,12_SUS_10,tag1,tag2,tag3,tag4,oq,sus,priorExp,t1_time,t1_hint_pt,t1_hint_ar,t1_pinch,t1_tfr,t1_offscrn,t2_time,t2_hint_pt,t2_hint_ar,t2_pinch,t2_tfr,t2_offscrn,t3_time,t3_hint_pt,t3_hint_ar,t3_pinch,t3_tfr,t3_offscrn,m1_time,m1_hint_pt,m1_hint_ar,m1_pinch,m1_tfr,m1_offscrn,m2_time,m2_hint_pt,m2_hint_ar,m2_pinch,m2_tfr,m2_offscrn,m3_time,m3_hint_pt,m3_hint_ar,m3_pinch,m3_tfr,m3_offscrn
0,2,1,MT1,05.02.20,12:20,,1,18,0,1,2,3,2,4,1,4,2,2,1,1,,,,I would prefer if it also gave me feedback an how to certain tasks.,62.5,0,11,0,0,0,0,0,105,0,1,0,1,0,65,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,117,0,0,0,0,0
0,3,1,TM1,05.02.20,12:48,,0,21,1,2,4,3,1,4,1,5,3,2,1,,1,1,,being able to rotate with two fingers would aid in a more flexible use; as well as more explicit labeling of the button function.,67.5,1,21,0,0,0,0,0,83,0,0,0,3,0,58,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,16,0,0,0,0,0,145,1,0,0,0,0
0,4,2,TM2,05.02.20,13:04,,0,23,1,3,1,4,3,3,1,5,1,4,1,,,,,,67.5,0,18,0,0,0,0,0,159,0,1,0,4,0,86,0,0,0,1,0,13,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,83,0,0,0,0,0
0,5,0,TM0,05.02.20,13:22,,0,23,1,2,2,3,2,2,1,2,3,3,2,1,,,,Some kind of feedback about what I could try out when failing.,55.0,1,16,0,0,0,0,0,117,0,1,1,7,0,31,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,16,0,0,0,0,0,18,0,0,0,0,0
0,6,1,MT1,05.02.20,14:22,,1,22,0,2,2,4,1,4,4,3,2,3,2,,1,,,I think it would be easier to be able to turn the toast by moving it with two fingers instead of holding it with one and moving the camera.,62.5,0,10,0,0,0,0,0,156,0,1,2,25,0,71,1,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,20,0,0,0,0,1,81,0,0,0,0,0
0,7,1,TM1,05.02.20,15:23,,1,28,1,2,3,2,4,4,2,4,4,1,1,,,1,,Door-open button is hard to see.,65.0,0,16,0,0,0,0,0,67,0,1,0,0,1,115,0,1,2,3,0,13,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,205,0,0,0,0,0
0,8,0,MT0,05.02.20,16:05,,0,26,1,1,2,4,1,4,2,5,3,3,1,1,1,,,After a couple of misstries it would be nice to get a hint how to tilt the phone.,67.5,1,11,0,0,0,0,0,89,0,0,0,5,0,142,1,1,0,0,0,12,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,80,0,0,0,0,0
0,9,1,MT1,05.02.20,16:14,Couple – not a big issue,0,27,1,4,3,4,4,5,1,4,1,4,1,,,,1,loved the experience!!!,80.0,1,14,0,0,0,0,0,151,0,1,1,4,0,110,0,2,4,0,0,34,0.0,1.0,0.0,0.0,0.0,16,0,0,0,0,0,61,0,0,0,0,0
0,11,2,TM2,05.02.20,19:36,,0,23,1,3,1,4,1,3,3,5,1,5,1,,,,,,65.0,1,13,0,0,0,0,0,82,0,1,0,2,5,42,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,69,0,0,0,0,0
0,12,2,TM2,06.05.20,15:29,,0,46,1,2,1,4,2,4,1,4,1,4,1,,,,,,55.0,1,33,0,0,0,0,0,122,0,1,0,3,0,61,1,0,0,1,0,21,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,111,0,0,3,0,0
0,13,0,MT0,13.02.20,17:05,,1,34,1,2,4,2,3,4,2,2,5,1,5,1,,,,Some indication of how to rotate objects.,47.5,1,10,0,0,0,0,0,204,0,1,4,13,0,302,0,2,0,0,0,13,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,80,0,0,0,0,0
1,1,2,MT2,05.02.20,12:25,,0,20,1,3,2,2,4,3,3,4,2,2,1,,1,,,Once I figured out that you can have to  twist the phone; it was a lot easier. So maybe a suggestion that you can twist the phone would be helpful.,65.0,0,16,0,0,0,0,0,244,0,0,0,8,0,61,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,17,0,0,0,0,0,67,1,0,0,0,0
1,2,0,MT0,05.02.20,12:54,,1,20,0,4,2,4,4,4,3,5,3,4,2,,,,,,50.0,0,15,0,0,0,0,0,61,0,0,0,0,0,111,0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,59,1,0,0,0,1,98,0,0,0,0,0
1,3,0,MT0,05.02.20,14:14,,1,26,1,3,2,4,1,4,2,3,3,4,3,1,,,,Explanations of options,70.0,1,10,0,0,0,0,0,76,1,1,0,4,0,,,,,,,40,0.0,0.0,1.0,0.0,0.0,32,0,0,0,0,1,85,1,0,0,0,0
1,4,2,MT2,05.02.20,14:25,,0,19,1,4,2,3,2,4,1,3,3,3,2,1,,,,The text / info should get shown longer.,55.0,1,8,0,0,0,0,0,166,0,1,8,23,0,105,1,0,0,3,0,12,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,1,47,0,0,0,0,0
1,5,0,TM0,05.02.20,15:38,no screen for toaster – screens are there,1,23,1,2,3,3,2,4,1,4,2,4,1,,1,,,Weird that the environment moves and not the toast,72.5,1,14,0,0,0,0,0,213,1,1,0,4,2,62,0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,71,0,0,0,0,0
1,6,2,MT2,05.02.20,16:05,,0,24,0,1,3,3,3,4,2,4,3,3,4,,,,,,100.0,0,6,0,0,0,0,0,154,1,1,22,17,1,,,,,,,50,0.0,0.0,0.0,0.0,0.0,25,0,0,0,0,0,58,0,1,0,0,0
1,7,1,MT1,05.02.20,16:20,,0,26,1,5,3,3,2,3,3,3,3,2,3,,1,,,The app itself is very nice and the idea is very good. However; althrough the controls weren‘t essentially difficult; the way they were presented to someone that is not familiar with the features can be quite tricky. In my opinion; they could be more intuitive out of these details; great job!,70.0,1,18,0,0,0,0,0,286,1,3,0,6,0,73,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,93,0,0,0,0,0
1,8,2,MT2,22.02.20,17:07:00,,0,28,0,2,2,4,2,4,2,4,2,4,4,,,1,,"Sometimes the objects were moving, especially in mid-air beside the table.",77.5,1,9,0,0,0,0,0,58,0,0,0,7,0,29,0,0,0,0,0,46,1.0,0.0,0.0,0.0,0.0,39,1,0,0,0,0,66,0,0,0,2,0
