phone,count,lvl,implementation,sus,t1_time,t1_hint_pt,t1_hint_ar,t1_pinch,t1_tfr,t1_offscrn,t2_time,t2_hint_pt,t2_hint_ar,t2_pinch,t2_tfr,t2_offscrn,t3_time,t3_hint_pt,t3_hint_ar,t3_pinch,t3_tfr,t3_offscrn,m1_time,m1_hint_pt,m1_hint_ar,m1_pinch,m1_tfr,m1_offscrn,m2_time,m2_hint_pt,m2_hint_ar,m2_pinch,m2_tfr,m2_offscrn,m3_time,m3_hint_pt,m3_hint_ar,m3_pinch,m3_tfr,m3_offscrn
0,5,0,TM0,55.0,16,0,0,0,0,0,117,0,1,1,7,0,31,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,16,0,0,0,0,0,18,0,0,0,0,0
0,11,2,TM2,65.0,13,0,0,0,0,0,82,0,1,0,2,5,42,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,69,0,0,0,0,0
0,9,1,MT1,80.0,14,0,0,0,0,0,151,0,1,1,4,0,110,0,2,4,0,0,34,0.0,1.0,0.0,0.0,0.0,16,0,0,0,0,0,61,0,0,0,0,0
0,2,1,MT1,62.5,11,0,0,0,0,0,105,0,1,0,1,0,65,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,117,0,0,0,0,0
0,3,1,TM1,67.5,21,0,0,0,0,0,83,0,0,0,3,0,58,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,16,0,0,0,0,0,145,1,0,0,0,0
0,4,2,TM2,67.5,18,0,0,0,0,0,159,0,1,0,4,0,86,0,0,0,1,0,13,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,83,0,0,0,0,0
0,6,1,MT1,62.5,10,0,0,0,0,0,156,0,1,2,25,0,71,1,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,20,0,0,0,0,1,81,0,0,0,0,0
0,7,1,TM1,65.0,16,0,0,0,0,0,67,0,1,0,0,1,115,0,1,2,3,0,13,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,205,0,0,0,0,0
0,8,0,MT0,67.5,11,0,0,0,0,0,89,0,0,0,5,0,142,1,1,0,0,0,12,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,80,0,0,0,0,0
0,12,2,TM2,55.0,33,0,0,0,0,0,122,0,1,0,3,0,61,1,0,0,1,0,21,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,111,0,0,3,0,0
0,13,0,MT0,47.5,10,0,0,0,0,0,204,0,1,4,13,0,302,0,2,0,0,0,13,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,80,0,0,0,0,0
1,1,2,MT2,65.0,16,0,0,0,0,0,244,0,0,0,8,0,61,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,17,0,0,0,0,0,67,1,0,0,0,0
1,2,0,MT0,50.0,15,0,0,0,0,0,61,0,0,0,0,0,111,0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,59,1,0,0,0,1,98,0,0,0,0,0
1,3,0,MT0,70.0,10,0,0,0,0,0,76,1,1,0,4,0,-1,-1,-1,-1,-1,-1,40,0.0,0.0,1.0,0.0,0.0,32,0,0,0,0,1,85,1,0,0,0,0
1,4,2,MT2,55.0,8,0,0,0,0,0,166,0,1,8,23,0,105,1,0,0,3,0,12,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,1,47,0,0,0,0,0
1,5,0,TM0,72.5,14,0,0,0,0,0,213,1,1,0,4,2,62,0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,71,0,0,0,0,0
1,6,2,MT2,100.0,6,0,0,0,0,0,154,1,1,22,17,1,-1,-1,-1,-1,-1,-1,50,0.0,0.0,0.0,0.0,0.0,25,0,0,0,0,0,58,0,1,0,0,0
1,7,1,MT1,70.0,18,0,0,0,0,0,286,1,3,0,6,0,73,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,93,0,0,0,0,0
1,8,2,MT2,77.5,9,0,0,0,0,0,58,0,0,0,7,0,29,0,0,0,0,0,46,1.0,0.0,0.0,0.0,0.0,39,1,0,0,0,0,66,0,0,0,2,0
1,9,2,MT2,82.5,30,0,0,0,0,0,39,0,0,0,0,0,52,0,0,0,0,0,69,0.0,0.0,0.0,1.0,0.0,29,0,0,0,0,0,34,0,0,0,0,0
1,10,1,TM1,80.0,10,0,0,0,0,0,73,1,1,0,2,0,191,1,2,0,1,0,9,0.0,0.0,0.0,0.0,0.0,21,0,0,0,0,0,201,1,0,2,0,0
1,11,1,TM1,72.5,16,0,0,0,0,1,118,0,1,0,1,1,62,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,141,0,0,1,0,0
1,12,0,TM0,77.5,10,0,0,0,0,0,104,0,1,1,3,0,180,2,1,0,0,0,6,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,59,0,0,0,0,0
1,13,3,TM3,72.5,17,0,0,0,0,0,84,0,2,0,2,1,64,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,49,0,0,0,0,0
2,1,2,TM2,30.0,20,0,0,0,0,0,82,1,1,0,2,0,26,1,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,41,0,0,0,0,0
2,3,2,TM2,90.0,28,0,0,0,4,0,129,0,1,0,6,0,72,1,0,0,1,0,6,0.0,0.0,0.0,0.0,0.0,17,0,0,0,0,0,103,0,0,0,0,1
2,5,0,TM0,70.0,22,0,0,0,2,0,73,0,1,0,10,1,88,1,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,36,0,0,0,0,0
2,4,1,MT1,72.5,11,0,0,0,0,0,66,0,0,0,0,1,72,0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,37,0,0,0,0,0,117,1,0,0,0,0
2,8,0,MT0,90.0,10,0,0,0,0,0,103,0,1,1,5,0,155,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,29,0,0,0,0,0,118,1,0,0,0,0
2,9,0,TM0,62.5,19,0,0,0,0,0,187,0,1,0,10,10,59,1,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,73,0,0,0,0,0
2,10,1,TM1,82.5,15,0,0,0,1,0,115,0,1,0,9,0,90,1,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,22,0,0,0,0,0,59,0,0,0,0,0
2,11,3,TM3,65.0,12,0,0,0,0,0,85,0,0,0,2,1,56,1,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,62,0,0,0,0,0
2,12,3,MT3,85.0,10,0,0,0,0,0,52,0,0,0,3,0,92,0,0,0,2,0,20,0.0,0.0,0.0,0.0,0.0,22,0,0,0,0,1,49,0,0,0,0,0
2,13,3,MT3,80.0,9,0,0,0,0,0,63,0,0,0,3,0,48,1,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,53,0,0,0,0,0
2,14,3,TM3,65.0,10,0,0,0,0,0,127,0,0,0,3,0,93,1,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,57,0,0,0,0,0
2,15,3,TM3,50.0,16,0,0,0,0,1,55,0,0,0,1,2,61,1,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,71,0,0,0,0,0
2,16,3,MT3,82.5,8,0,0,0,0,0,41,0,0,0,1,0,84,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,16,0,0,0,0,0,88,0,0,0,0,0
2,17,3,TM3,57.5,11,0,0,0,0,0,128,0,0,0,2,3,75,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,52,0,0,0,0,0
2,18,3,MT3,67.5,7,0,0,0,0,0,44,0,0,0,1,0,57,1,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,54,0,1,0,0,3,73,0,0,0,0,0
2,19,3,MT3,30.0,11,0,0,0,0,0,111,0,0,0,3,0,90,1,0,0,0,0,68,0.0,1.0,0.0,0.0,0.0,12,0,0,0,0,0,50,0,0,0,0,0
